Date,Symbol,TradeType,EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,ExitReason
14-02-2024,BRITANNIA,Sell,12:20:00,4952.05,14:30:00,4971.2,-19.15,Stop Loss Hit
15-02-2024,BRITANNIA,Sell,09:50:00,4996.5,10:55:00,4969.8,26.7,Target Hit
16-02-2024,BRITANNIA,Sell,09:25:00,4947.6,10:15:00,4918.05,29.55,Target Hit
19-02-2024,BRITANNIA,Sell,09:20:00,4906.9,09:35:00,4926.05,-19.15,Stop Loss Hit
20-02-2024,BRITANNIA,Sell,09:45:00,4905,13:25:00,4920,-15,Stop Loss Hit
21-02-2024,BRITANNIA,Buy,11:55:00,4945.55,12:40:00,4975,29.45,Target Hit
22-02-2024,BRITANNIA,Sell,09:35:00,4890.9,09:40:00,4905.85,-14.95,Stop Loss Hit
22-02-2024,BRITANNIA,Buy,14:20:00,4926.75,14:55:00,4953,26.25,Target Hit
23-02-2024,BRITANNIA,Buy,11:05:00,4964.15,11:25:00,4942.75,-21.4,Stop Loss Hit
26-02-2024,BRITANNIA,Sell,09:55:00,4905.05,10:30:00,4925.7,-20.65,Stop Loss Hit
27-02-2024,BRITANNIA,Buy,09:35:00,4909.45,13:35:00,4896.95,-12.5,Stop Loss Hit
28-02-2024,BRITANNIA,Sell,10:55:00,4890.6,12:25:00,4904,-13.4,Stop Loss Hit
29-02-2024,BRITANNIA,Buy,11:00:00,4892,11:20:00,4916.7,24.7,Target Hit
01-03-2024,BRITANNIA,Sell,09:20:00,4956.7,11:55:00,4928.85,27.85,Target Hit
04-03-2024,BRITANNIA,Sell,09:20:00,4894.55,11:40:00,4870,24.55,Target Hit
05-03-2024,BRITANNIA,Buy,09:20:00,4865.75,09:35:00,4849.8,-15.95,Stop Loss Hit
06-03-2024,BRITANNIA,Buy,14:30:00,4859,15:10:00,4887,28,Target Hit
07-03-2024,BRITANNIA,Sell,09:50:00,4848.65,11:00:00,4872,-23.35,Stop Loss Hit
07-03-2024,BRITANNIA,Buy,11:10:00,4880.35,15:15:00,4893.05,12.7,Time Exit
11-03-2024,BRITANNIA,Buy,09:25:00,4916.5,10:20:00,4952.9,36.4,Target Hit
12-03-2024,BRITANNIA,Sell,11:40:00,4879.3,12:00:00,4894.5,-15.2,Stop Loss Hit
13-03-2024,BRITANNIA,Buy,09:40:00,4898,09:50:00,4927.1,29.1,Target Hit
13-03-2024,BRITANNIA,Sell,13:40:00,4848.95,15:00:00,4864.6,-15.65,Stop Loss Hit
14-03-2024,BRITANNIA,Buy,09:25:00,4866.15,09:35:00,4895.85,29.7,Target Hit
15-03-2024,BRITANNIA,Buy,09:25:00,4977.65,09:30:00,4960.9,-16.75,Stop Loss Hit
18-03-2024,BRITANNIA,Buy,09:55:00,5003.8,10:10:00,4986.25,-17.55,Stop Loss Hit
19-03-2024,BRITANNIA,Sell,09:20:00,4930,09:45:00,4943.8,-13.8,Stop Loss Hit
20-03-2024,BRITANNIA,Sell,09:20:00,4765.75,09:25:00,4780.3,-14.55,Stop Loss Hit
20-03-2024,BRITANNIA,Buy,13:05:00,4826,13:30:00,4811,-15,Stop Loss Hit
22-03-2024,BRITANNIA,Buy,09:20:00,4830.35,09:25:00,4811.4,-18.95,Stop Loss Hit
26-03-2024,BRITANNIA,Buy,10:25:00,4839.1,10:30:00,4888.65,49.55,Target Hit
27-03-2024,BRITANNIA,Buy,09:30:00,4979.55,09:40:00,4945.75,-33.8,Stop Loss Hit
27-03-2024,BRITANNIA,Sell,10:20:00,4920,12:00:00,4881.4,38.6,Target Hit
28-03-2024,BRITANNIA,Sell,09:20:00,4878.85,09:50:00,4900.35,-21.5,Stop Loss Hit
01-04-2024,BRITANNIA,Buy,09:20:00,4957.2,09:25:00,4936.5,-20.7,Stop Loss Hit
01-04-2024,BRITANNIA,Sell,12:10:00,4889.7,12:30:00,4904.45,-14.75,Stop Loss Hit
01-01-2024,CESC,Buy,09:45:00,134.25,10:10:00,133.9,-0.35,Stop Loss Hit
02-01-2024,CESC,Sell,09:20:00,135.05,09:25:00,135.8,-0.75,Stop Loss Hit
03-01-2024,CESC,Sell,09:35:00,132.95,09:40:00,132.25,0.7,Target Hit
03-01-2024,CESC,Buy,10:30:00,135.4,10:35:00,136.4,1,Target Hit
04-01-2024,CESC,Sell,09:30:00,134.65,09:35:00,135,-0.35,Stop Loss Hit
05-01-2024,CESC,Buy,09:25:00,136,09:45:00,136.8,0.8,Target Hit
08-01-2024,CESC,Sell,09:30:00,137,09:35:00,136.1,0.9,Target Hit
09-01-2024,CESC,Sell,09:40:00,136.9,09:45:00,136,0.9,Target Hit
